epoch,train_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro
1,5.51571761071682,0.031617776216406115,0.0021616165675585487,0.014164305949008499,0.0027852697709254207
2,4.687861815094948,0.08888108203056386,0.00887727272362772,0.036827195467422094,0.01156035792203467
3,4.302130177617073,0.06112770068505182,0.006671072606920511,0.0423728813559322,0.009874323207883623
4,4.1185885816812515,0.074126119796241,0.009058789732081655,0.059490084985835696,0.013158561257535959
5,3.9874293357133865,0.07799051466713508,0.010432888630364387,0.061971830985915494,0.014636600332103749
6,3.926739424467087,0.025469875285438256,0.004445409977921181,0.036619718309859155,0.006065663649481879
7,3.910192109644413,0.03319866502722642,0.007890750585189784,0.0647887323943662,0.011582867466440066
8,3.818136289715767,0.033901282276479885,0.01629604981367719,0.07282913165266107,0.02077901672290177
9,3.7834547534585,0.04918320744774284,0.010996496803214427,0.0647887323943662,0.014417140350925698
10,3.728288806974888,0.07395046548392763,0.014818168711567357,0.08146067415730338,0.019340473110936486
11,3.775132402777672,0.0456701212014755,0.017141678581762264,0.07149754213483146,0.019521900368063016
12,3.667458087205887,0.08027402072720885,0.012721961900142955,0.06983240223463687,0.01696216012999643
13,3.6568036675453186,0.09204285965220446,0.011841505425724255,0.0446927374301676,0.014789519679922149
14,3.7568377628922462,0.04408923239065519,0.01116397745810626,0.06460674157303371,0.01598660454758269
15,3.6861282363533974,0.025821183910064993,0.011545391860630312,0.06515580736543909,0.014460550876178006
16,3.6042703092098236,0.07535569998243456,0.020556732674724795,0.096045197740113,0.028527364086664543
17,3.7025566771626472,0.03249604777797295,0.004684286273989297,0.05352112676056338,0.007812290693968984
18,3.6114712208509445,0.09590725452309855,0.023380699821281405,0.09423415492957747,0.028128561206936322
19,3.5720758140087128,0.10293342701563324,0.02231925544787886,0.10393258426966293,0.02798669039448422
20,3.5733237266540527,0.06376251536975233,0.023969374538264518,0.09550561797752809,0.030182730200555397
21,3.585914760828018,0.08975935359213069,0.021696652277718255,0.11299435028248588,0.028324071388463355
22,3.5754709020256996,0.07763920604250835,0.016681541767125482,0.09014084507042254,0.021917363590762212
23,3.6701831370592117,0.036009134024240295,0.014669707450758384,0.07129726890756302,0.017935425780693882
24,3.538703754544258,0.14403653609696118,0.02351291110692303,0.10674157303370786,0.03096747332124132
25,3.5382773354649544,0.06622167574213947,0.014965972875631704,0.056179775280898875,0.0185142402304332
26,3.506637640297413,0.051642367820129986,0.017364497453210063,0.08785789106145252,0.02338711726255651
27,3.560020588338375,0.10591955032496048,0.03400982939383786,0.09473953013278856,0.03974575481822164
28,3.539586164057255,0.1299841911118918,0.03854063627238065,0.12012816011235955,0.046962980747419454
29,3.6632349640130997,0.057263305814157735,0.015059597322262582,0.05898876404494382,0.019443253791254216
30,3.5126591995358467,0.10275777270331987,0.031510992217772524,0.09631728045325778,0.03856453643975393
31,3.5601775720715523,0.10416300720182681,0.026827690689478777,0.10112359550561797,0.03546240595732459
32,3.4511395394802094,0.14842789390479535,0.03687618984130149,0.11547269729488038,0.041767571820707054
33,3.4920303523540497,0.13665905497979974,0.036289094764402896,0.11891631652661064,0.04392894100731586
34,3.564162030816078,0.11768838924995609,0.03065525849684294,0.0995447437449556,0.03657041276419226
35,3.5534159541130066,0.17389776919023361,0.053296747005218144,0.1481726694915254,0.06305074552719847
